classification_id,user_id,user_name,workflow_id,annotations,metadata,subject_ids
0,0,0,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",0
1,1,1,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",1
2,2,2,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",2
3,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",3
4,4,4,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",4
5,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",5
6,6,6,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",6
7,7,7,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",7
8,8,8,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",8
9,9,9,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",9
10,0,0,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",10
11,1,1,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",11
12,2,2,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",12
13,3,3,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",13
14,4,4,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",14
15,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",15
16,6,6,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",16
17,7,7,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",17
18,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",18
19,9,9,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",19
20,0,0,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",0
21,1,1,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",1
22,2,2,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",2
23,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",3
24,4,4,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",4
25,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",5
26,6,6,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",6
27,7,7,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",7
28,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",8
29,9,9,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",9
30,0,0,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",10
31,1,1,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",11
32,2,2,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",12
33,3,3,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",13
34,4,4,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",14
35,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",15
36,6,6,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",16
37,7,7,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",17
38,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",18
39,9,9,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",19
40,0,0,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",0
41,1,1,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",1
42,2,2,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",2
43,3,3,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",3
44,4,4,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",4
45,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",5
46,6,6,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",6
47,7,7,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",7
48,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",8
49,9,9,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",9
50,0,0,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",10
51,1,1,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",11
52,2,2,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",12
53,3,3,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",13
54,4,4,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",14
55,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",15
56,6,6,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",16
57,7,7,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",17
58,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",18
59,9,9,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",19
60,0,0,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",0
61,1,1,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",1
62,2,2,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",2
63,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",3
64,4,4,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",4
65,5,5,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",5
66,6,6,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",6
67,7,7,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",7
68,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",8
69,9,9,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",9
70,0,0,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",10
71,1,1,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",11
72,2,2,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",12
73,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",13
74,4,4,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",14
75,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",15
76,6,6,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",16
77,7,7,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",17
78,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",18
79,9,9,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",19
80,0,0,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",0
81,1,1,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",1
82,2,2,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",2
83,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",3
84,4,4,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",4
85,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",5
86,6,6,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",6
87,7,7,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",7
88,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",8
89,9,9,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",9
90,0,0,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",10
91,1,1,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",11
92,2,2,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",12
93,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",13
94,4,4,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",14
95,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",15
96,6,6,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",16
97,7,7,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",17
98,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",18
99,9,9,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",19
100,0,0,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",0
101,1,1,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",1
102,2,2,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",2
103,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",3
104,4,4,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",4
105,5,5,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",5
106,6,6,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",6
107,7,7,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",7
108,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",8
109,9,9,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",9
110,0,0,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",10
111,1,1,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",11
112,2,2,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",12
113,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",13
114,4,4,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",14
115,5,5,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",15
116,6,6,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",16
117,7,7,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",17
118,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",18
119,9,9,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",19
120,0,0,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",0
121,1,1,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",1
122,2,2,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",2
123,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",3
124,4,4,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",4
125,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",5
126,6,6,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",6
127,7,7,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",7
128,8,8,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",8
129,9,9,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",9
130,0,0,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",10
131,1,1,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",11
132,2,2,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",12
133,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",13
134,4,4,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",14
135,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",15
136,6,6,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",16
137,7,7,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",17
138,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",18
139,9,9,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",19
140,0,0,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",0
141,1,1,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",1
142,2,2,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",2
143,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",3
144,4,4,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",4
145,5,5,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",5
146,6,6,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",6
147,7,7,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",7
148,8,8,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",8
149,9,9,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",9
150,0,0,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",10
151,1,1,0,"[{""task"": ""T1"", ""value"": ""0""}]","{""seen_before"": false}",11
152,2,2,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",12
153,3,3,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",13
154,4,4,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",14
155,5,5,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",15
156,6,6,0,"[{""task"": ""T1"", ""value"": ""1""}]","{""seen_before"": false}",16
